_id,tripduration,start station id,start station name,end station id,end station name,bikeid,usertype,birth year,gender,start station location,end station location,start time,stop time
572bb8222b288919b68abf5a,379,476,E 31 St & 3 Ave,498,Broadway & W 32 St,17827,Subscriber,1969,1,"{'$numberDouble': '-73.97966069'}, {'$numberDouble': '40.74394314'}","{'$numberDouble': '-73.98808416'}, {'$numberDouble': '40.74854862'}",2016-01-01T00:00:45,2016-01-01T00:07:04
572bb8222b288919b68abf5b,889,268,Howard St & Centre St,3002,South End Ave & Liberty St,22794,Subscriber,1961,2,"{'$numberDouble': '-73.99973337'}, {'$numberDouble': '40.71910537'}","{'$numberDouble': '-74.015756'}, {'$numberDouble': '40.711512'}",2016-01-01T00:01:06,2016-01-01T00:15:56
572bb8222b288919b68abf5c,589,489,10 Ave & W 28 St,284,Greenwich Ave & 8 Ave,21997,Subscriber,1982,2,"{'$numberDouble': '-74.00176802'}, {'$numberDouble': '40.75066386'}","{'$numberDouble': '-74.0026376103'}, {'$numberDouble': '40.7390169121'}",2016-01-01T00:00:48,2016-01-01T00:10:37
572bb8222b288919b68abf5d,923,268,Howard St & Centre St,3002,South End Ave & Liberty St,22285,Subscriber,1958,1,"{'$numberDouble': '-73.99973337'}, {'$numberDouble': '40.71910537'}","{'$numberDouble': '-74.015756'}, {'$numberDouble': '40.711512'}",2016-01-01T00:00:41,2016-01-01T00:16:04
572bb8222b288919b68abf5e,332,3104,Kent Ave & N 7 St,389,Broadway & Berry St,15788,Subscriber,1984,1,"{'$numberDouble': '-73.96150225'}, {'$numberDouble': '40.72057658'}","{'$numberDouble': '-73.96525063'}, {'$numberDouble': '40.71044554'}",2016-01-01T00:01:19,2016-01-01T00:06:51
572bb8222b288919b68abf5f,2321,3167,Amsterdam Ave & W 73 St,3164,Columbus Ave & W 72 St,24183,Subscriber,1963,1,"{'$numberDouble': '-73.98093044757842'}, {'$numberDouble': '40.77966809007312'}","{'$numberDouble': '-73.97898475'}, {'$numberDouble': '40.7770575'}",2016-01-01T00:01:27,2016-01-01T00:40:08
572bb8222b288919b68abf60,694,268,Howard St & Centre St,497,E 17 St & Broadway,15747,Subscriber,1996,1,"{'$numberDouble': '-73.99973337'}, {'$numberDouble': '40.71910537'}","{'$numberDouble': '-73.99009296'}, {'$numberDouble': '40.73704984'}",2016-01-01T00:02:18,2016-01-01T00:13:53
572bb8222b288919b68abf61,1376,527,E 33 St & 2 Ave,259,South St & Whitehall St,23933,Subscriber,1963,1,"{'$numberDouble': '-73.976056'}, {'$numberDouble': '40.744023'}","{'$numberDouble': '-74.01234218'}, {'$numberDouble': '40.70122128'}",2016-01-01T00:03:12,2016-01-01T00:26:09
572bb8222b288919b68abf62,1480,2006,Central Park S & 6 Ave,2006,Central Park S & 6 Ave,14562,Subscriber,1952,1,"{'$numberDouble': '-73.97634151'}, {'$numberDouble': '40.76590936'}","{'$numberDouble': '-73.97634151'}, {'$numberDouble': '40.76590936'}",2016-01-01T00:01:12,2016-01-01T00:25:52
572bb8222b288919b68abf63,615,432,E 7 St & Avenue A,311,Norfolk St & Broome St,23993,Subscriber,1971,1,"{'$numberDouble': '-73.98379855'}, {'$numberDouble': '40.72621788'}","{'$numberDouble': '-73.98802084'}, {'$numberDouble': '40.7172274'}",2016-01-01T00:03:43,2016-01-01T00:13:59
572bb8222b288919b68abf64,1770,3226,W 82 St & Central Park West,509,9 Ave & W 22 St,22541,Subscriber,1970,1,"{'$numberDouble': '-73.97137'}, {'$numberDouble': '40.78275'}","{'$numberDouble': '-74.00197139'}, {'$numberDouble': '40.7454973'}",2016-01-01T00:04:43,2016-01-01T00:34:14
572bb8222b288919b68abf65,525,331,Pike St & Monroe St,236,St Marks Pl & 2 Ave,22193,Subscriber,1988,1,"{'$numberDouble': '-73.99193043'}, {'$numberDouble': '40.71173107'}","{'$numberDouble': '-73.98713956'}, {'$numberDouble': '40.7284186'}",2016-01-01T00:05:40,2016-01-01T00:14:25
572bb8222b288919b68abf66,667,444,Broadway & W 24 St,490,8 Ave & W 33 St,18665,Subscriber,1964,1,"{'$numberDouble': '-73.98915076'}, {'$numberDouble': '40.7423543'}","{'$numberDouble': '-73.993934'}, {'$numberDouble': '40.751551'}",2016-01-01T00:05:41,2016-01-01T00:16:49
572bb8222b288919b68abf67,240,3165,Central Park West & W 72 St,3168,Central Park West & W 85 St,22174,Subscriber,1976,1,"{'$numberDouble': '-73.9762057363987'}, {'$numberDouble': '40.77579376683666'}","{'$numberDouble': '-73.96961715'}, {'$numberDouble': '40.78472675'}",2016-01-01T00:06:35,2016-01-01T00:10:36
572bb8222b288919b68abf68,539,3117,Franklin St & Dupont St,3104,Kent Ave & N 7 St,15061,Subscriber,1989,1,"{'$numberDouble': '-73.95866'}, {'$numberDouble': '40.73564'}","{'$numberDouble': '-73.96150225'}, {'$numberDouble': '40.72057658'}",2016-01-01T00:07:39,2016-01-01T00:16:39
